Gender,Race/Ethnicity,Home_City,Preferred_Langauge,Hobby_Interest,Budget (in millions),Fathers_Occupation,Mothers_Occupation,Study_Group,Degree_Program,Matric_Marks,Inter_Marks,Year_of_Admission,Campus,University
male,Sindhi,Karachi,Urdu,Nothing,7,Doctor,Teacher,CS,BSCS,986,998,2019,Karachi,Aga Khan
female,Pashtun,Peshawar,Pashto,Nothing,3.5,Doctor,Doctor,Pre-Engrr,BSMaterial,998,856,2020,Islamabad,PU (University of Punjab)
male,Other,Abbotabad,Urdu,Sports,6,Doctor,House Wife,Pre-Med,BSBotany,890,920,2020,Lahore,Government College University (GCU)
male,Pashtun,Kohat,Hinko,Gaming,4,Engrr,Teacher,Pre-Engrr,BSMech,879,935,2019,Peshawar,IMsciences
male,Punjabi,Islamabad,Punjabi,Gaming,1,Engrr,Doctor,Pre-Engrr,BSAviMgt,926,905,2019,Islamabad,AU (Air University)
male,Other,Lahore,Punjabi,Nothing,2,Doctor,Doctor,CS,BSCS,950,988,2020,Islamabad,Quaid-i-Azam University (QAU)
male,Other,Islamabad,Urdu,Sports,9,Doctor,House Wife,Pre-Med,Pharmacology,856,951,2019,Peshawar,Northwest School of Medicine
female,Other,Kohat,Urdu,Gaming,9,Doctor,House Wife,Pre-Med,Physiology,985,969,2019,Peshawar,Northwest School of Medicine
male,Other,Faisalabad,Urdu,Gaming,1,Doctor,House Wife,Pre-Med,BSBotany,870,930,2019,Peshawar,UOP
male,Other,Karachi,Urdu,Gaming,3,Engrr,Doctor,Pre-Engrr,BSMech,990,968,2019,Karachi,NUST
male,Other,Peshawar,Pashto,Nothing,0.8,Retired,House Wife,Pre-Med,BSBotany,900,930,2019,Peshawar,UOP
male,Pashtun,Islamabad,Urdu,Gaming,0.9,Engrr,House Wife,CS,BSAI,970,988,2019,Islamabad,Quaid-i-Azam University (QAU)
male,Punjabi,Islamabad,Urdu,Reading,8,Army,Doctor,Commerce,BBA,999,991,2019,Lahore,LUMS
male,Other,Karachi,Urdu,Nothing,3,Doctor,House Wife,CS,BSCS,925,980,2020,Islamabad,COMSATS
female,Kashmiris,Islamabad,Urdu,Gaming,1,Doctor,House Wife,CS,BSCS,952,825,2020,Lahore,Bahria University
female,Punjabi,Islamabad,Urdu,Gaming,7,Doctor,Teacher,Pre-Engrr,BSSE,899,920,2020,Lahore,Government College University (GCU)
female,Other,Peshawar,Urdu,Writing,2,Doctor,Doctor,Pre-Engrr,BSMech,988,760,2019,Islamabad,AU (Air University)
male,Punjabi,Islamabad,Urdu,Sports,10,Retired,Doctor,Pre-Med,MBBS,952,952,2020,Peshawar,Jinnah Medical College
male,Other,Peshawar,Urdu,Nothing,2,Doctor,House Wife,Pre-Med,BSBotany,870,930,2019,Peshawar,UOP
male,Pashtun,Peshawar,Punjabi,Nothing,5,Engrr,Doctor,Pre-Engrr,BSEconomics,989,954,2020,Islamabad,PU (University of Punjab)
female,Pashtun,Peshawar,Pashto,Nothing,9,Doctor,House Wife,Pre-Med,MBBS,963,963,2020,Peshawar,Jinnah Medical College
female,Kashmiris,Islamabad,Urdu,Gaming,1,Doctor,House Wife,CS,BSCS,952,825,2020,Lahore,Bahria University
male,Punjabi,Lahore,Punjabi,Gaming,1.5,Engrr,Doctor,CS,BSCS,920,960,2019,Islamabad,COMSATS
male,Punjabi,Islamabad,Urdu,Writing,0.8,Doctor,Doctor,CS,BSCS,750,921,2019,Islamabad,Quaid-i-Azam University (QAU)
male,Pashtun,Lahore,Urdu,Gaming,0.9,Doctor,Doctor,Pre-Med,BSBotany,980,865,2019,Islamabad,Quaid-i-Azam University (QAU)
male,Punjabi,Lahore,Punjabi,Reading,6.4,Doctor,Teacher,Pre-Med,MBBS,1000,1000,2019,Karachi,Aga Khan
male,Other,Peshawar,Urdu,Reading,7,Retired,House Wife,Pre-Engrr,BSSE,902,903,2019,Lahore,Government College University (GCU)
male,Other,Karachi,Urdu,Nothing,1.5,Doctor,House Wife,Pre-Engrr,BSCS,990,990,2020,Karachi,NUST
male,Punjabi,Lahore,Punjabi,Gaming,1.5,Engrr,Doctor,Pre-Engrr,BSMech,875,950,2020,Islamabad,AU (Air University)
male,Other,Karachi,Urdu,Gaming,2.5,Army,Doctor,Pre-Med,MBBS,1000,998,2019,Lahore,UHS
male,Pashtun,Kohat,Pashto,Reading,2,Engrr,House Wife,Pre-Engrr,BSEE,900,924,2020,Islamabad,COMSATS
male,Baloch,Karachi,Urdu,Nothing,1.2,Retired,Doctor,Pre-Engrr,BSSE,985,987,2020,Peshawar,Abasyn University
female,Kashmiris,Lahore,Urdu,Gaming,2,Doctor,Teacher,Pre-Engrr,BSEE,780,810,2019,Peshawar,IMsciences
male,Other,Kohat,Hinko,Gaming,10,Doctor,Doctor,Pre-Med,Physiology,963,963,2020,Peshawar,Jinnah Medical College
male,Pashtun,Islamabad,Urdu,Reading,2,Engrr,House Wife,Pre-Engrr,BSMech,823,852,2019,Karachi,NED
male,Baloch,Karachi,Urdu,Reading,3,Engrr,House Wife,Pre-Engrr,BSMech,823,852,2019,Karachi,NED
female,Pashtun,Abbotabad,Urdu,Sports,2,Doctor,House Wife,Pre-Med,BSPharmacy,860,704,2019,Peshawar,CECOS
male,Punjabi,Karachi,Urdu,Sports,2,Engrr,House Wife,Pre-Engrr,BSAI,841,852,2020,Karachi,Iqra University
male,Other,Peshawar,Urdu,Nothing,2,Engrr,House Wife,Pre-Engrr,BSCivil,730,795,2019,Peshawar,UET
female,Pashtun,Islamabad,Pashto,Gaming,4,Engrr,Doctor,Pre-Engrr,BSCS,985,951,2019,Islamabad,Iqra University
male,Other,Peshawar,Pashto,Nothing,1.5,Retired,House Wife,Pre-Med,BSBotany,902,903,2019,Peshawar,Abdul Wali Khan University
male,Sindhi,Karachi,Urdu,Gaming,6.8,Doctor,Teacher,Pre-Engrr,BSEE,990,990,2019,Karachi,Aga Khan
male,Punjabi,Islamabad,Urdu,Gaming,3,Doctor,Teacher,CS,BSCS,985,999,2020,Islamabad,FAST NUCES
male,Punjabi,Lahore,Urdu,Gaming,3,Engrr,Doctor,Pre-Engrr,BSCivil,1000,1009,2019,Islamabad,NUST
male,Other,Karachi,Urdu,Sports,5,Retired,Doctor,Pre-Engrr,BSEconomics,850,852,2019,Karachi,IBA
female,Punjabi,Lahore,Urdu,Nothing,4,Doctor,Doctor,Pre-Med,BSBiotechnology,822,741,2019,Lahore,UMT
male,Baloch,Other,Urdu,Sports,2,Engrr,Teacher,Pre-Engrr,BSEE,700,890,2019,Peshawar,IMsciences
male,Muhajirs,Quetta,Urdu,Sports,2,Teacher,House Wife,Pre-Engrr,BSSE,900,700,2019,Islamabad,FAST NUCES
male,Pashtun,Kohat,Hinko,Gaming,3,Engrr,Teacher,Pre-Engrr,BSMech,920,930,2019,Peshawar,IMsciences
male,Other,Islamabad,Urdu,Gaming,1,Retired,Doctor,Pre-Engrr,BSCS,850,980,2019,Islamabad,Bahria University
male,Other,Lahore,Punjabi,Gaming,1.3,Engrr,House Wife,Pre-Med,BSBotany,752,750,2019,Peshawar,Abasyn University
male,Pashtun,Kohat,Urdu,Sports,3,Engrr,House Wife,Pre-Engrr,BSMech,700,780,2019,Peshawar,UET
female,Sindhi,Islamabad,Urdu,Gaming,2,Retired,Doctor,CS,BSCS,783,896,2020,Lahore,Bahria University
male,Sindhi,Karachi,Urdu,Nothing,2,Retired,Teacher,Commerce,BSEconomics,823,852,2019,Karachi,NED
male,Pashtun,Peshawar,Urdu,Nothing,1.5,Doctor,House Wife,Commerce,BBA,788,952,2020,Lahore,Bahria University
male,Punjabi,Peshawar,Urdu,Nothing,1,Doctor,Doctor,CS,BSCS,850,852,2018,Islamabad,Quaid-i-Azam University (QAU)
male,Punjabi,Sialkot,Punjabi,Sports,3.5,Engrr,Doctor,Pre-Engrr,BSCS,938,987,2020,Karachi,University of Karachi (UoK)
male,Other,Kohat,Hinko,Reading,7,Army,Doctor,Pre-Engrr,BSCS,870,800,2019,Lahore,LUMS
female,Pashtun,Abbotabad,Urdu,Gaming,3,Engrr,House Wife,Pre-Med,BSPharmacy,762,710,2019,Peshawar,CECOS
male,Punjabi,Lahore,Punjabi,Gaming,2,Engrr,Doctor,CS,BSCS,928,968,2019,Islamabad,COMSATS
male,Pashtun,Peshawar,Urdu,Gaming,1.3,Engrr,Doctor,Pre-Engrr,BSCivil,823,852,2020,Karachi,NED
female,Punjabi,Kohat,Urdu,Nothing,8,Engrr,Doctor,Commerce,BSEconomics,823,852,2020,Lahore,Government College University (GCU)
male,Punjabi,Islamabad,Urdu,Gaming,1.5,Retired,House Wife,CS,BSIT,902,956,2020,Lahore,Bahria University
male,Punjabi,Islamabad,Punjabi,Nothing,2,Doctor,House Wife,Pre-Engrr,BSEE,920,945,2019,Peshawar,IMsciences
male,Other,Kohat,Hinko,Writing,1,Retired,House Wife,Pre-Engrr,BSCS,900,984,2019,Peshawar,UOP
male,Other,Islamabad,Urdu,Gaming,1,Retired,Doctor,Pre-Engrr,BSCS,850,980,2019,Islamabad,Bahria University
male,Other,Kohat,Urdu,Sports,3,Retired,Doctor,Pre-Engrr,BBA,832,746,2020,Islamabad,Iqra University
male,Other,Kohat,Hinko,Writing,1,Retired,House Wife,Pre-Engrr,BSCS,900,984,2019,Peshawar,UOP
male,Pashtun,Peshawar,Pashto,Gaming,3,Retired,Doctor,CS,BSCS,940,790,2019,Peshawar,CECOS
male,Punjabi,Islamabad,Urdu,Writing,2,Army,House Wife,Commerce,BSAviMgt,916,910,2019,Islamabad,AU (Air University)
male,Pashtun,Peshawar,Urdu,Nothing,1.3,Retired,Teacher,Pre-Med,MBBS,985,987,2019,Peshawar,Abdul Wali Khan University
male,Other,Islamabad,Urdu,Nothing,3,Engrr,House Wife,CS,BSAF,809,852,2019,Karachi,IBA
male,Other,Kohat,Pashto,Writing,1,Doctor,Doctor,Pre-Med,BSBotany,850,900,2020,Islamabad,Quaid-i-Azam University (QAU)
female,Baloch,Mardan,Urdu,Sports,2,Army,House Wife,CS,BSCS,900,900,2019,Peshawar,Abdul Wali Khan University
male,Pashtun,Peshawar,Urdu,Nothing,2,Doctor,House Wife,Pre-Med,MBBS,987,859,2019,Peshawar,KMC
female,Baloch,Karachi,Urdu,Reading,3,Engrr,Doctor,Pre-Engrr,BSEE,823,852,2019,Karachi,NED
male,Other,Karachi,Urdu,Gaming,3,Engrr,Doctor,Pre-Engrr,BSMech,990,968,2019,Karachi,NUST
male,Punjabi,Karachi,Urdu,Nothing,2,Doctor,House Wife,Pre-Engrr,BSCivil,996,997,2019,Karachi,NUST
male,Sindhi,Karachi,Urdu,Nothing,6.9,Doctor,Teacher,Pre-Engrr,BSEE,980,1003,2019,Karachi,Aga Khan
male,Other,Abbotabad,Urdu,Sports,2,Engrr,Doctor,Pre-Med,BSPharmacy,920,740,2019,Peshawar,CECOS
male,Pashtun,Peshawar,Pashto,Nothing,2,Engrr,House Wife,Commerce,BBA,950,800,2019,Peshawar,IMsciences
male,Sindhi,Karachi,Urdu,Nothing,3,Retired,Teacher,Commerce,BSEconomics,823,852,2020,Karachi,NED
male,Pashtun,Peshawar,Pashto,Gaming,2,Engrr,House Wife,Pre-Engrr,BSEE,640,740,2019,Peshawar,UET
male,Pashtun,Peshawar,Punjabi,Nothing,3.5,Engrr,Doctor,Pre-Engrr,BSEconomics,989,954,2020,Islamabad,PU (University of Punjab)
male,Punjabi,Islamabad,Urdu,Gaming,2.5,Army,House Wife,Commerce,BSEconomics,789,752,2019,Lahore,UMT
male,Other,Peshawar,Pashto,Nothing,1,Retired,House Wife,Pre-Engrr,BSMech,900,930,2019,Peshawar,UOP
female,Pashtun,Peshawar,Pashto,Reading,2,Engrr,House Wife,Pre-Med,MBBS,902,910,2019,Peshawar,KMC
male,Other,Islamabad,Urdu,Nothing,2,Engrr,House Wife,CS,BSCS,915,800,2019,Islamabad,AU (Air University)
male,Punjabi,Sialkot,Urdu,Gaming,4,Army,Doctor,Pre-Med,BSBiotechnology,1020,950,2020,Lahore,PU (University of Punjab)
female,Punjabi,Islamabad,Urdu,Gaming,1.5,Retired,Doctor,Pre-Engrr,BSCS,978,776,2019,Islamabad,AU (Air University)
female,Brahuis,Lahore,Urdu,Gaming,2,Teacher,Teacher,CS,BSCS,803,910,2019,Islamabad,FAST NUCES
male,Other,Peshawar,Urdu,Nothing,8,Retired,Doctor,Pre-Med,Pharmacology,812,886,2020,Peshawar,Northwest School of Medicine
male,Other,Peshawar,Pashto,Nothing,1,Retired,House Wife,Pre-Engrr,BSMech,870,930,2019,Peshawar,UOP
male,Other,Karachi,Urdu,Gaming,3,Doctor,Teacher,Pre-Med,MBBS,1001,950,2019,Lahore,UHS
male,Sindhi,Karachi,Urdu,Gaming,7,Army,Doctor,Pre-Med,MBBS,1000,998,2019,Karachi,Aga Khan
male,Pashtun,Peshawar,Pashto,Writing,1,Engrr,House Wife,CS,BSCS,750,850,2018,Islamabad,Quaid-i-Azam University (QAU)
male,Other,Kohat,Hinko,Reading,9,Army,Doctor,Pre-Engrr,BSCS,980,970,2019,Lahore,LUMS
male,Other,Kohat,Urdu,Nothing,2,Engrr,House Wife,CS,BSCS,999,856,2020,Peshawar,FAST NUCES
male,Other,Islamabad,Urdu,Nothing,2,Doctor,Teacher,Pre-Engrr,BSCivil,899,920,2019,Peshawar,IMsciences
male,Other,Kohat,Hinko,Gaming,11,Doctor,Doctor,Pre-Med,Physiology,963,963,2020,Peshawar,Jinnah Medical College
female,Punjabi,Islamabad,Urdu,Nothing,0.6,Engrr,House Wife,Pre-Med,MBBS,890,900,2019,Peshawar,KMC
male,Punjabi,Karachi,Urdu,Nothing,3,Doctor,House Wife,Pre-Med,MBBS,900,920,2020,Lahore,UHS
male,Punjabi,Lahore,Punjabi,Gaming,2,Engrr,Doctor,CS,BSCS,928,968,2019,Islamabad,COMSATS
male,Other,Peshawar,Urdu,Gaming,1,Retired,House Wife,CS,BSCS,893,980,2019,Peshawar,UOP
male,Punjabi,Islamabad,Punjabi,Nothing,2,Retired,Doctor,CS,BSCS,780,800,2019,Peshawar,FAST NUCES
male,Sindhi,Karachi,Sindhi,Writing,2,Doctor,Teacher,Pre-Engrr,BSEE,997,967,2020,Karachi,NUST
male,Other,Islamabad,Urdu,Sports,7,Doctor,Teacher,Pre-Med,BSBotany,1010,900,2019,Lahore,Government College University (GCU)
female,Punjabi,Islamabad,Urdu,Gaming,1,Engrr,House Wife,CS,BSCS,752,750,2019,Peshawar,Abasyn University
female,Punjabi,Islamabad,Urdu,Nothing,2,Engrr,House Wife,Commerce,BSAviMgt,911,780,2020,Islamabad,AU (Air University)
male,Other,Peshawar,Pashto,Nothing,9,Doctor,Doctor,Pre-Med,Biochemistry,1000,1000,2020,Peshawar,Jinnah Medical College
male,Other,Karachi,Urdu,Gaming,6.3,Doctor,Teacher,Pre-Med,MBBS,1010,900,2019,Karachi,Aga Khan
male,Punjabi,Sialkot,Punjabi,Sports,2.8,Doctor,House Wife,CS,BSCS,755,712,2019,Lahore,UMT
male,Other,Kohat,Hinko,Gaming,10,Doctor,House Wife,Pre-Med,Biochemistry,1023,1023,2020,Peshawar,Jinnah Medical College
male,Punjabi,Lahore,Punjabi,Writing,1,Engrr,Doctor,CS,BSCS,987,967,2019,Islamabad,COMSATS
female,Muhajirs,Karachi,Punjabi,Reading,4,Engrr,House Wife,Pre-Engrr,BSMech,820,800,2019,Peshawar,UET
male,Baloch,Mardan,Urdu,Sports,5,Army,House Wife,Pre-Med,MBBS,890,890,2019,Lahore,UHS
female,Sindhi,Sialkot,Urdu,Writing,7,Engrr,Doctor,Pre-Engrr,BSCS,780,800,2019,Lahore,LUMS
male,Other,Karachi,Urdu,Gaming,3,Doctor,Teacher,Pre-Med,MBBS,1010,900,2019,Lahore,UHS
male,Pashtun,Peshawar,Pashto,Writing,3,Engrr,House Wife,Pre-Engrr,BSCS,980,760,2019,Peshawar,CECOS
male,Pashtun,Peshawar,Pashto,Reading,0.8,Doctor,Teacher,Pre-Engrr,BSEE,950,850,2019,Islamabad,Quaid-i-Azam University (QAU)
male,Other,Peshawar,Pashto,Nothing,2,Doctor,House Wife,Pre-Engrr,BSBotany,879,935,2019,Peshawar,UOP
male,Punjabi,Lahore,Punjabi,Gaming,3,Engrr,Doctor,Pre-Engrr,BSMech,875,950,2020,Islamabad,AU (Air University)
male,Pashtun,Kohat,Urdu,Reading,4,Retired,House-Wife,CS,BSDataScience,85,75,2023,Islamabad,PU (University of Punjab)
male,Punjabi,Karachi,Urdu,Gaming,3,Doctor,Teacher,Pre-Med,MBBS,1010,940,2019,Lahore,UHS
female,Pashtun,Peshawar,Pashto,Writing,2,Engrr,House Wife,Pre-Med,MBBS,900,920,2019,Peshawar,KMC
male,Other,Karachi,Urdu,Gaming,1,Doctor,House Wife,Pre-Engrr,BSEconomics,746,852,2019,Karachi,Iqra University
female,Punjabi,Kohat,Urdu,Gaming,7,Engrr,Doctor,Pre-Engrr,BSCS,890,841,2019,Lahore,Government College University (GCU)
male,Other,Islamabad,Urdu,Gaming,4,Doctor,House Wife,CS,BSAF,804,852,2019,Karachi,IBA
male,Baloch,Karachi,Urdu,Gaming,1.2,Engrr,House Wife,Pre-Med,BSBotany,752,750,2019,Peshawar,Abasyn University
male,Muhajirs,Karachi,Punjabi,Writing,2,Engrr,House Wife,Pre-Engrr,BSEE,800,834,2019,Peshawar,UET
male,Pashtun,Kohat,Urdu,Nothing,2,Engrr,House Wife,Pre-Engrr,BSMech,700,780,2019,Peshawar,UET
male,Punjabi,Islamabad,Punjabi,Nothing,2,Doctor,House Wife,Pre-Engrr,BSEE,920,945,2019,Peshawar,IMsciences
female,Other,Peshawar,Urdu,Nothing,2,Engrr,House Wife,Pre-Engrr,BSAF,813,741,2020,Islamabad,Iqra University
male,Punjabi,Lahore,Punjabi,Nothing,6,Army,Doctor,Commerce,BBA,1000,991,2019,Lahore,LUMS
male,Other,Islamabad,Urdu,Nothing,2,Engrr,House Wife,Pre-Engrr,BSCS,877,800,2020,Islamabad,AU (Air University)
female,Pashtun,Kohat,Urdu,Nothing,8,Engrr,Doctor,CS,BSCS,920,740,2019,Lahore,Government College University (GCU)
male,Other,Peshawar,Urdu,Nothing,2,Engrr,Doctor,Pre-Engrr,BBA,844,980,2020,Islamabad,AU (Air University)
