Gender,Father's occupation.,Mother's occupation.,What is your Ethnic background/caste,What is your native language?,Which city do you currently live in?,Describe your hobbies.,What was your study group?,What were your Matric/O-Levels marks/grades respectively?,What were your Inter/A-Levels marks/grades respectively?,Which University did you get enrolled in?,Year of admission in university?,Do you have any impairments that needs accommodation? (medical or otherwise),Where is the campus located?,What degree program did you choose?,"Including all costs, what is your cumulative expense at your current university (to the nearest million) 
For Example: 3 Million PKR",Are there any question that you feel should have also been asked in this form? 
Male,Logistics ,Not any more,Awan,Hindko,Peshawar,"Gardening, gaming, watching videos",Pre-Med,909,857,Rehman medical university,2018,No,Hayatabad,Bds,1.2,Nothing
Male,Professor ,House wife,Pathan,Urdu,Peshawar ,Iot projects,Pre-Engrr,74%,72%,Fast Nuces ,2019,No,Peshawar ,Electrical Engineering ,2,
Male,Agriculture officer,Houses wife,Rajput,Urdu,Nowshera,Cricket ,Pre-Engrr,82 percent,80,Agriculture University Peshawar ,2020,No impairments,Peshawar ,BSC Agronomy (Agriculture),0.6,No
Male,Govt servent,House wife,Awan,Hindko,Peshawar,Cricket,Pre-Engrr,A+,A+,Fast NUCES ,2019,No,Peshawar ,Electrical engineering ,1.5,No 
Male,Shopkeeper ,House wife ,Pathan,pushto,Islamabad ,Book lover,Pre-Engrr,699,745,Agriculture university of peshawar ,2020,No,Near forest bazar polosi road,Crop production ,1,No
Male,Student,Housewife,Don't really know. Suni ,Urdu,Islamabad ,cricket videogames,Pre-Med,945 A1,895,khyber medical university,2018,no,Peshawar,BDS,5,
Male,Finance Manager,Housewife,Khan,Urdu,Sialkot ,Gaming,Pre-Engrr,4A*3A1C,ABC,UMT,2019,Nope,Lahore,BS(Mechanical Engineering),2,No
Male,Business,Housewife,Paracha,Hindko,Kohat,"Football , gaming , watching shows",Pre-Med,961/1050,982/1100,"Khyber Medical College, Peshawar",2019,No,Peshawar,MBBS,2,No
Male,Farmer,Housewife,I don't know,Urdu,Peshawar,Eating sleeping studying ,Pre-Med,966 A+,985 A+,Khyber medical uni,2019,Yes a bit,Peshawar university ,Mbbs,6,No
Male,Salesman ,Housewife ,Joiya,Urdu,Peshawar,"Reading, riding, traveling, hiking ",Psychology ,1st Division ,1st Division ,Kohat university of science and technology ,2019,No,Kohat city,BS 4 years,0.7,"No, thank you "
Male,Salesman,Housewife,Malik,Urdu,Kotli Ajk,Gaming,Commerce,70%,75%,Bahria,2023,No,Karachi karsaz,Accounts and finance,3,None
Female,Oil field employee,House wife,Khan,Urdu/Punjabi/Pushto,Peshawar ,Nothing,Pre-Engrr,89%,77%,FAST,2019,No,Islamabad ,Cybersecurity ,1,Nahh
Male,Govt Job,House Wife,Pathan,Urdu,Peshawar ,"Gaming, Reading",Pre-Engrr,A+,A,FAST(NUCES),2019,None,Islamabad,BS CY,1,
Male,Goverment Officer - Retired,Government Officer,Asian,Urdu,Lahore,Walking,CS,90.09% - A+ grade,70.03% - A grade,FAST NUCES,2019,Nopes.,Islamabad,Cyber Security,2,No
Male,Civil Engineer,Teacher,Awan,Hindko,Abbottabad ,Gaming & over-thinking,CS,Dont remember tbh.,Also dont remember.,FAST ,2019,no,Islamabad,Cyber Security,3.4,No
Male,Babker,House wife,Panjabi/Pathan,Urdu,Rawalpindi ,Running,CS,770 ig don't remember ,Low 700s or high 600s don't know,FAST NU (Isb) ,2019,No,Isb,Cyber security ,1.5,No
Male,Government Servant ,Housewife ,Sunni Muslim ,Pashto,Abbottabad ,"Physical fitness, book reading, watching shows ",Pre-Med,1020/1100,978/1100,"Khyber Medical College, Psw, Kp",2019,No,University of Peshawar ,MBBS,5,
Female,Consultant ,Homemaker,Siraiki,Urdu,Islamabad ,?,Commerce,3A* 3A 2B,3A* and A,Lums,2018,No,Lahore ,Economics ,1,
Male,Retired/businessman ,Teacher,Pathan,Urdu/pushto,Islamabad ,Sports,Law,91%,80%,University of London,2016,No,Islamabad ,lLB,3.2,
Male,Land lord (Zameen dar),Business owner ,Don't really know. Suni ,Urdu,Islamabad ,Nothing,Arts,Honestly don't remember but 2 As and rest were Bs and Cs,37 points (IB),BNU,Fall 2020,Not really.,"Lahore, Tarogil campus.",Bs.c in psychology ,4,Could've added more theme appropriate questions. 
Male,Businessman ,House wife,Khan,Urdu,Sialkot ,Playing games,Pre-Engrr,83,80,Fast,2022,Allergy,Peshawar ,Bs cs,1.5,No
Male,Business man ,House wife,Paracha,Hindko,Kohat,"Exploring new things, playing badminton ",CS,882,1036,Kohat university of science and technology ,2022,No,Kohat,Cs,0.24,No
Male,Teacher ,House wife ,Syed ,Hindko ,Peshawar ,E sports ,Pre-Engrr,991 / 1100,1072 / 1100 ,Uet Peshawar ,2021,No ,Peshawar,BSc Civil Engineering,1,
Male,PAF (Rtd),House wife ,Muslim ,Saraiki,Kohat ,Reciting Quran and Daily exercise/ running ,CS,987/1100,885/1100,Kohat University of Science and Technology ,2022,No,"Kohat bypass, near kohat board",BS Computer Science ,0.5,No
Male,Retired govt officer,House wife,Peshawari,Urdu,Peshawar ,Swimming ,CS,962/1050,789/1100,FAST NUCES ,2019,No,Peshawar ,BS CS,5,
Male,Business man,Housewife ,Syed,Urdu/Hindko,Peshawar ,Nothing,Pre-Engrr,920/1100,820/1100,Fast Nuces Peshawar ,2019,No,Peshawar Industrial State,Bs Electrical Engineering ,2.5,No it's perfect.
Male,Teacy,House wife ,Siddiqui ,Punjabi ,Peshawar ,Badminton ,CS,823,800,FAST,2019,No,Peshawar ,Computer science ,2.5,
Male,Business man,Teacher,Awan,Hindko,Abbottabad ,No such hobbies,CS,912,691,Fast Nuces Peshawar ,2019,Flu,Hayatabad phase 1 industrial area,Computer Science ,2,No
Male,Govt emoplye ,Govt teacher,Panjabi/Pathan,Urdu,Rawalpindi ,Learning ,Pre-Engrr,1016,1042,Kohat university ,2022,No,At kohat ,Computer science ,1,No 
Male,Government employee ,None,Sunni Muslim ,Pashto,Abbottabad ,Football ,Pre-Med,1035,1060,Buic,2023,No,Islamabad ,LLB ,3,No
Male,Retired Judicial Officer,Housewife,Siraiki,Urdu,Islamabad ,"Sports, outdoor activities",Accounting,60 percent,60 percent,ACCA,2019,Nope ,F-8,ACCA,1.5,No
Male,Retired,House wife,Pathan,Urdu/pushto,Islamabad ,Nothing,CS,970,900,FAST NUCES,2019,No,Peshawar ,BSCS,2,No
Female,Business man,Teacher,Awan,Hindko,Abbottabad ,Traveling ,Pre-Med,775,846,Kohat university of Science and Technology ,2017,No,Kohat,Chemical sciences,1,No this is enough.
Female,Army officer ,Housewife,Panjabi/Pathan,Urdu,Rawalpindi ,Making good food.,Pre-Med,765/1050,873/1100,KUST,2019,No,Kohat,Psychology ,1.5,No
Female,Police Officer,House wife,Sunni Muslim ,Pashto,Abbottabad ,Reading books,Pre-Engrr,878 out of 1100,820,AU (Air University),2022,No,Islamabad,BSEE,2.5,
Female,Retired Post Master,House wife,Siraiki,Urdu,Islamabad ,Reading books,Bs chemistry ,941,965,Kohat university of science and technology ,2021,No,Kohat ,Chemistry ,1,No
Female,Salesman,House wife,Pathan,Urdu/pushto,Islamabad ,Reading books ,  BS Chemistry ,823,832,Kohat university of science and technology ,2021,No,Kohat,Bs chemistry ,1,No
Female,Business ,Housewife ,Khattak ,Pushto,Nowshera,Reading ,Pre-Med,87%,83%,University of Peshawar ,2017,No,Peshawar ,Political Science ,1,No
Male,Journalist,General Manager,I don't know,Urdu,Peshawar,"sketching, gaming",CS,698,882,FAST NUCES,2019,no,Peshawar ,BSCS,1,no
Male,Businessman ,Teacher,Joiya,Urdu,Peshawar,Exercise,Pre-Engrr,983,830,NUCES FAST,2019,No,Peshawar,Computer science ,2,No
Male,Businessman,Housewife,Malik,Urdu,Kotli Ajk,Football ,Pre-Engrr,835/1050,794/1100,Fast Nuces Peshawar campus,2019,No,Peshawar ,BSEE,2,All Fine
Female,Businessman ,Housewife ,Khan,Punjabi,Peshawar ,"Painting, Riding, Troubleshooting ",Pre-Engrr,971,859,Fast National University ,2019,no,Industrial Estate,Electricial Engineering ,2,.
Male,Business ,Housewife,Pathan,Urdu,Peshawar ,Gaming studying ,Pre-Med,A+,A,Rmi,2018,No,Peshawar ,Bds,5,No
Male,Businessman ,Housewife,Rajput,Urdu,Nowshera,Gaming,CS,843,827,FAST University,2019,No,Peshawar,BSCS,1.5,
Male,Logistics ,Not any more,Awan,Hindko,Abbottabad ,"Gardening, gaming, watching videos",Pre-Med,909,857,Rehman medical university,2018,No,Hayatabad,Bds,1.2,Nothing
Male,Professor ,House wife,Panjabi/Pathan,Urdu,Rawalpindi ,Iot projects,Pre-Engrr,74%,72%,Fast Nuces ,2019,No,Peshawar ,Electrical Engineering ,2,
Male,Agriculture officer,Houses wife,Sunni Muslim ,Pashto,Abbottabad ,Cricket ,Pre-Engrr,82 percent,80,Agriculture University Peshawar ,2020,No impairments,Peshawar ,BSC Agronomy (Agriculture),2,About teaching staff
Male,Govt servent,House wife,Siraiki,Urdu,Islamabad ,Cricket,Pre-Engrr,A+,A+,Fast NUCES ,2019,No,Peshawar ,Electrical engineering ,1,No 
Male,Shopkeeper ,House wife ,Pathan,Urdu/pushto,Islamabad ,Book lover,Pre-Engrr,699,745,Agriculture university of peshawar ,2020,No,Near forest bazar polosi road,Crop production ,2,No
Male,Student,Housewife,syed,Pushtu,Peshawar,cricket videogames,Pre-Med,945 A1,895,khyber medical university,2018,no,Peshawar,BDS,1,
Male,Finance Manager,Housewife,Mughal,Urdu,Lahore,Gaming,Pre-Engrr,4A*3A1C,ABC,UMT,2019,Nope,Lahore,BS(Mechanical Engineering),1,Yes
Male,Business,Housewife,Paracha,Hindko,Kohat,"Football , gaming , watching shows",Pre-Med,961/1050,982/1100,"Khyber Medical College, Peshawar",2019,No,Peshawar,MBBS,2,"Yes, why did you chose the degree."
Male,Farmer,Housewife,Pushtoon,Psuhto,Peshawar,Eating sleeping studying ,Pre-Med,966 A+,985 A+,Khyber medical uni,2019,Yes a bit,Peshawar university ,Mbbs,6,No
Male,Salesman ,Housewife ,Bangash,Pashto,Kohat,"Reading, riding, traveling, hiking ",Psychology ,1st Division ,1st Division ,Kohat university of science and technology ,2019,No,Kohat city,BS 4 years,1,"No, thank you "
Male,Salesman,Housewife,Syed,Urdu,Karachi,My favorite hobby is playing football and I also love to hit the gym.,Commerce,70%,75%,Bahria,2023,No,Karachi karsaz,Accounts and finance,3,None
Female,Oil field employee,House wife,Choudry,Urdu,Islamabad ,"Learning online about my field, doing arts and crafts",Pre-Engrr,89%,77%,FAST,2019,No,Islamabad ,Cybersecurity ,1,Nahh
Male,Govt Job,House Wife,Awan,Punjabi,Islamabad,"Gaming, Reading",Pre-Engrr,A+,A,FAST(NUCES),2019,None,Islamabad,BS CY,1,
Male,Goverment Officer - Retired,Government Officer,Asian,Urdu,Lahore,Walking,CS,90.09% - A+ grade,70.03% - A grade,FAST NUCES,2019,Nopes.,Islamabad,Cyber Security,1,Nopes. Seems to be good.
Male,Civil Engineer,Teacher,Awan,Hindko,Abbottabad ,Gaming & over-thinking,CS,Dont remember tbh.,Also dont remember.,FAST ,2019,no,Islamabad,Cyber Security,2,No
Male,Babker,House wife,Panjabi/Pathan,Urdu,Rawalpindi ,Running,CS,770 ig don't remember ,Low 700s or high 600s don't know,FAST NU (Isb) ,2019,No,Isb,Cyber security ,3.4,"1) Why did you choose your program
2) Was your choose right
3) if not which you think you should have choose
4) if you hv special needs does your university hv facilities to aid you (e.g elevators, ramps, special washrooms, medical staff, etc)
5) what are expense except university fee.
6) which mode of transport suits you more self (bike/car), university bus service, uber/careem/indrive/bykea, local"
Male,Government Servant ,Housewife ,Sunni Muslim ,Pashto,Abbottabad ,"Physical fitness, book reading, watching shows ",Pre-Med,1020/1100,978/1100,"Khyber Medical College, Psw, Kp",2019,No,University of Peshawar ,MBBS,2,
Female,Consultant ,Homemaker,Siraiki,Urdu,Islamabad ,?,Commerce,3A* 3A 2B,3A* and A,Lums,2018,No,Lahore ,Economics ,1.2,
Male,Retired/businessman ,Teacher,Pathan,Urdu/pushto,Islamabad ,Sports,Law,91%,80%,University of London,2016,No,Islamabad ,lLB,3.2,
Male,Businessman ,House wife,Khan,Urdu,Sialkot ,Playing games,Pre-Engrr,83,80,Fast,2022,Allergy,Peshawar ,Bs cs,1.5,No
Male,Business man ,House wife,Paracha,Hindko,Kohat,"Exploring new things, playing badminton ",CS,882,1036,Kohat university of science and technology ,2022,No,Kohat,Cs,0.24,No
Male,Teacher ,House wife ,Syed ,Hindko ,Peshawar ,E sports ,Pre-Engrr,991 / 1100,1072 / 1100 ,Uet Peshawar ,2021,No ,Peshawar,BSc Civil Engineering,0.5,
Male,PAF (Rtd),House wife ,Muslim ,Saraiki,Kohat ,Reciting Quran and Daily exercise/ running ,CS,987/1100,885/1100,Kohat University of Science and Technology ,2022,No,"Kohat bypass, near kohat board",BS Computer Science ,0.5,No
Male,Retired govt officer,House wife,Peshawari,Urdu,Peshawar ,Swimming ,CS,962/1050,789/1100,FAST NUCES ,2019,No,Peshawar ,BS CS,5,
Male,Business man,Housewife ,Syed,Hindko,Peshawar ,1) Watching anime 2) Drawing/Sketching 3) Cycling 4) Cooking 5) Manga Reading 6) Photography ,Pre-Engrr,920/1100,820/1100,Fast Nuces Peshawar ,2019,No,Peshawar Industrial State,Bs Electrical Engineering ,2.5,No it's perfect.
Male,Teacy,House wife ,Siddiqui ,Punjabi ,Peshawar ,Badminton ,CS,823,800,FAST,2019,No,Peshawar ,Computer science ,2.5,
Male,Business man,Teacher,Rajput,Ranghri,Peshawar ,No such hobbies,CS,912,691,Fast Nuces Peshawar ,2019,Flu,Hayatabad phase 1 industrial area,Computer Science ,2,No
Male,Govt emoplye ,Govt teacher,Syed suni,hindko,Kohat,Learning ,Pre-Engrr,1016,1042,Kohat university ,2022,No,At kohat ,Computer science ,0.7,No 
Male,Government employee ,None,Khan,Pashto ,Islamabad ,Football ,Pre-Med,1035,1060,Buic,2023,No,Islamabad ,LLB ,3,No
Male,Retired Judicial Officer,Housewife,Rajput,Punjabi,Islamabad,"Sports, outdoor activities",Accounting,60 percent,60 percent,ACCA,2019,Nope ,F-8,ACCA,1.5,No
